Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
31,,,,,,,,,19 February 2017,14:39
32,,,,,,,,,16 March 2017,06:00
33,,,,,,,,,30 March 2017,22:27
34,,,,,,,,,1 May 2017,11:15
35,,,,,,,,,15 May 2017,23:21
36,,,,,,,,,3 June 2017,21:07
37,,,,,,,,,23 June 2017,19:10
38,,,,,,,,,25 June 2017,20:25
39,,,,,,,,,5 July 2017,23:38
40,,,,,,,,,14 August 2017,16:31
41,,,,,,,,,24 August 2017,18:51
42,,,,,,,,,7 September 2017,14:00
43,,,,,,,,,9 October 2017,12:37
44,,,,,,,,,11 October 2017,22:53:00
45,,,,,,,,,30 October 2017,19:34
46,,,,,,,,,15 December 2017,15:36
47,,,,,,,,,23 December 2017,01:27
48,,,,,,,,,8 January 2018,01:00
49,,,,,,,,,31 January 2018,21:25
50,,,,,,,,,22 February 2018,14:17
51,,,,,,,,,6 March 2018,05:33
52,,,,,,,,,30 March 2018,14:14
53,,,,,,,,,2 April 2018,20:30
54,,,,,,,,,18 April 2018,22:51
55,,,,,,,,,11 May 2018,20:14
56,,,,,,,,,22 May 2018,19:47
57,,,,,,,,,4 June 2018,04:45
58,,,,,,,,,29 June 2018,09:42
59,,,,,,,,,22 July 2018,05:50
60,,,,,,,,,25 July 2018,11:39
61,,,,,,,,,7 August 2018,05:18
62,,,,,,,,,10 September 2018,04:45
63,,,,,,,,,8 October 2018,02:22
64,,,,,,,,,15 November 2018,20:46
65,,,,,,,,,3 December 2018,18:34:05
66,,,,,,,,,5 December 2018,18:16
67,,,,,,,,,23 December 2018,13:51
68,,,,,,,,,11 January 2019,15:31
69,,,,,,,,,22 February 2019,01:45
70,,,,,,,,,2 March 2019,07:49
71,,,,,,,,,4 May 2019,06:48
72,,,,,,,,,24 May 2019,02:30
73,,,,,,,,,12 June 2019,14:17
74,,,,,,,,,25 July 2019,22:01
75,,,,,,,,,6 August 2019,23:23
76,,,,,,,,,11 November 2019,14:56
77,,,,,,,,,5 December 2019,17:29
78,,,,,,,,,17 December 2019,00:10
79,,,,,,,,,7 January 2020,02:19:21
80,,,,,,,,,19 January 2020,15:30
81,,,,,,,,,29 January 2020,14:07
82,,,,,,,,,17 February 2020,15:05
83,,,,,,,,,7 March 2020,04:50
84,,,,,,,,,18 March 2020,12:16
85,,,,,,,,,22 April 2020,19:30
86,,,,,,,,,30 May 2020,19:22
87,,,,,,,,,4 June 2020,01:25
88,,,,,,,,,13 June 2020,09:21
89,,,,,,,,,30 June 2020,20:10:46
90,,,,,,,,,20 July 2020,21:30
91,,,,,,,,,7 August 2020,05:12
92,,,,,,,,,18 August 2020,14:31
93,,,,,,,,,30 August 2020,23:18
94,,,,,,,,,3 September 2020,12:46:14
95,,,,,,,,,6 October 2020,11:29:34
96,,,,,,,,,18 October 2020,12:25:57
97,,,,,,,,,24 October 2020,15:31:34
98,,,,,,,,,5 November 2020,23:24:23
99,,,,,,,,,16 November 2020,00:27
100,,,,,,,,,21 November 2020,17:17:08
101,,,,,,,,,25 November 2020,02:13
102,,,,,,,,,6 December 2020,16:17:08
103,,,,,,,,,13 December 2020,17:30:00
104,,,,,,,,,19 December 2020,14:00:00
105,,,,,,,,,8 January 2021,02:15
106,,,,,,,,,20 January 2021,13:02
1,,,,,,,,,24 January 2021,15:00
1,,,,,,,,,4 June 2010,06:19
2,,,,,,,,,8 December 2010,03:59:37
3,,,,,,,,,22 May 2012,08:24
4,,,,,,,,,8 October 2012,08:13:29
5,,,,,,,,,1 March 2013,10:01
6,,,,,,,,,29 September 2013,08:28
7,,,,,,,,,3 December 2013,16:34
8,,,,,,,,,6 January 2014,9:49
9,,,,,,,,,18 April 2014,03:44
10,,,,,,,,,14 July 2014,19:01
11,,,,,,,,,5 August 2014,06:42
12,,,,,,,,,7 September 2014,22:56
13,,,,,,,,,21 September 2014,18:59
14,,,,,,,,,10 January 2015,17:29
15,,,,,,,,,11 February 2015,04:26
16,,,,,,,,,2 March 2015,
17,,,,,,,,,14 April 2015,
18,,,,,,,,,27 April 2015,
19,,,,,,,,,28 June 2015,
20,,,,,,,,,22 December 2015,
21,,,,,,,,,17 January 2016,
22,,,,,,,,,4 March 2016,
23,,,,,,,,,8 April 2016,
24,,,,,,,,,6 May 2016,
25,,,,,,,,,27 May 2016,
26,,,,,,,,,15 June 2016,
27,,,,,,,,,18 July 2016,
28,,,,,,,,,14 August 2016,
29,,,,,,,,,14 January 2017,
30,,,,,,,,,19 February 2017,
31,,,,,,,,,16 March 2017,
32,,,,,,,,,30 March 2017,
33,,,,,,,,,1 May 2017,
34,,,,,,,,,15 May 2017,
35,,,,,,,,,3 June 2017,
36,,,,,,,,,23 June 2017,
37,,,,,,,,,25 June 2017,
38,,,,,,,,,5 July 2017,
39,,,,,,,,,14 August 2017,
40,,,,,,,,,24 August 2017,
41,,,,,,,,,7 September 2017,
42,,,,,,,,,9 October 2017,
43,,,,,,,,,11 October 2017,
44,,,,,,,,,30 October 2017,
45,,,,,,,,,15 December 2017,
46,,,,,,,,,23 December 2017,
47,,,,,,,,,8 January 2018,
48,,,,,,,,,31 January 2018,
49,,,,,,,,,22 February 2018,
50,,,,,,,,,6 March 2018,
51,,,,,,,,,30 March 2018,
52,,,,,,,,,2 April 2018,
53,,,,,,,,,18 April 2018,
54,,,,,,,,,11 May 2018,
55,,,,,,,,,22 May 2018,
56,,,,,,,,,4 June 2018,
57,,,,,,,,,29 June 2018,
58,,,,,,,,,22 July 2018,
59,,,,,,,,,25 July 2018,
60,,,,,,,,,7 August 2018,
61,,,,,,,,,10 September 2018,
62,,,,,,,,,8 October 2018,
63,,,,,,,,,15 November 2018,
64,,,,,,,,,3 December 2018,
65,,,,,,,,,5 December 2018,
66,,,,,,,,,23 December 2018,
67,,,,,,,,,11 January 2019,
68,,,,,,,,,22 February 2019,
69,,,,,,,,,2 March 2019,
70,,,,,,,,,4 May 2019,
71,,,,,,,,,24 May 2019,
72,,,,,,,,,12 June 2019,
73,,,,,,,,,25 July 2019,
74,,,,,,,,,6 August 2019,
75,,,,,,,,,11 November 2019,
76,,,,,,,,,5 December 2019,
77,,,,,,,,,17 December 2019,
78,,,,,,,,,7 January 2020,
79,,,,,,,,,19 January 2020,
80,,,,,,,,,29 January 2020,
81,,,,,,,,,17 February 2020,
82,,,,,,,,,7 March 2020,
83,,,,,,,,,18 March 2020,
84,,,,,,,,,22 April 2020,
85,,,,,,,,,30 May 2020,
86,,,,,,,,,4 June 2020,
87,,,,,,,,,13 June 2020,
88,,,,,,,,,30 June 2020,
89,,,,,,,,,20 July 2020,
90,,,,,,,,,7 August 2020,
91,,,,,,,,,18 August 2020,
92,,,,,,,,,30 August 2020,
93,,,,,,,,,3 September 2020,
94,,,,,,,,,6 October 2020,
95,,,,,,,,,18 October 2020,
96,,,,,,,,,24 October 2020,
97,,,,,,,,,5 November 2020,
98,,,,,,,,,16 November 2020,
99,,,,,,,,,21 November 2020,
100,,,,,,,,,25 November 2020,
101,,,,,,,,,6 December 2020,
102,,,,,,,,,13 December 2020,
103,,,,,,,,,19 December 2020,
104,,,,,,,,,8 January 2021,
105,,,,,,,,,20 January 2021,
106,,,,,,,,,24 January 2021,
1,,,,,,,,,4 February 2021,
2,,,,,,,,,16 February 2021,
3,,,,,,,,,4 March 2021,
4,,,,,,,,,11 March 2021,
5,,,,,,,,,14 March 2021,
6,,,,,,,,,24 March 2021,
7,,,,,,,,,7 April 2021,
8,,,,,,,,,23 April 2021,
9,,,,,,,,,29 April 2021,
10,,,,,,,,,4 May 2021,
11,,,,,,,,,9 May 2021,
12,,,,,,,,,15 May 2021,
13,,,,,,,,,26 May 2021,
14,,,,,,,,,3 June 2021,
15,,,,,,,,,6 June 2021,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
